Feature,Importance
SENGKANG_price_ratio,0.04001537
2 ROOM,0.035604697
4 ROOM,0.03485102
DBSS,0.033237178
BUKIT MERAH_price_ratio,0.032368045
floor_area_sqm,0.030963259
QUEENSTOWN_price_ratio,0.030723382
QUEENSTOWN,0.030320674
GEYLANG_price_ratio,0.026853293
BUKIT MERAH,0.026600724
KALLANG/WHAMPOA,0.025341459
2 ROOM_price_ratio,0.02523446
BISHAN_price_ratio,0.02397273
BISHAN,0.02020737
3 ROOM,0.019427966
CHOA CHU KANG_price_ratio,0.019020623
WOODLANDS_price_ratio,0.018946083
TOA PAYOH_price_ratio,0.018690007
KALLANG/WHAMPOA_price_ratio,0.018515067
area_by_storey,0.018465117
SENGKANG,0.018041704
DBSS_price_ratio,0.017746
4 ROOM_price_ratio,0.017207779
CENTRAL AREA_price_ratio,0.01606777
CENTRAL AREA,0.015604405
CHOA CHU KANG,0.015556285
GEYLANG,0.015387003
Type S1,0.0151673155
BUKIT PANJANG_price_ratio,0.014060877
YISHUN_price_ratio,0.013623609
BUKIT PANJANG,0.013168315
BUKIT TIMAH,0.0131162945
EXECUTIVE_price_ratio,0.01305319
WOODLANDS,0.011672239
CLEMENTI,0.011293516
JURONG WEST_price_ratio,0.010886179
BUKIT TIMAH_price_ratio,0.010471874
BEDOK,0.010304045
JURONG EAST,0.01026698
JURONG WEST,0.009853784
MARINE PARADE,0.0095026735
Terrace,0.008100005
YISHUN,0.00783907
EXECUTIVE,0.007827317
CLEMENTI_price_ratio,0.0070497035
PUNGGOL,0.006955649
PASIR RIS,0.0067057675
remaining_lease,0.006653449
SEMBAWANG_price_ratio,0.0065113995
TOA PAYOH,0.006458604
SERANGOON_price_ratio,0.0062950766
Type S2_price_ratio,0.0059940075
SEMBAWANG,0.0057572187
Type S2,0.0056330357
TAMPINES,0.0054962244
TAMPINES_price_ratio,0.005059591
SERANGOON,0.004729538
BUKIT BATOK_price_ratio,0.0047169
BEDOK_price_ratio,0.004552114
5 ROOM,0.004268438
JURONG EAST_price_ratio,0.0042544375
long_lease,0.0041135415
PUNGGOL_price_ratio,0.003881364
New Generation_price_ratio,0.0035352127
MARINE PARADE_price_ratio,0.0033442914
Terrace_price_ratio,0.0032099478
3 ROOM_price_ratio,0.002993586
Model A-Maisonette,0.0029470986
Premium Apartment,0.0029236812
Standard,0.0027414898
Simplified,0.0025172194
PASIR RIS_price_ratio,0.0023993533
Improved_price_ratio,0.0023669198
Model A_price_ratio,0.0023306913
Simplified_price_ratio,0.0023236147
Model A,0.002173193
lease_exp_factor,0.0021708705
New Generation,0.002083039
Premium Apartment_price_ratio,0.0020222282
Improved,0.001957095
short_lease,0.0018613643
Model A-Maisonette_price_ratio,0.0018315951
Premium Apartment Loft,0.001594339
Standard_price_ratio,0.0015102187
Type S1_price_ratio,0.0012541404
Multi Generation_price_ratio,0.001205974
BUKIT BATOK,0.0011010044
Premium Apartment Loft_price_ratio,0.0010251953
Model A2,0.000979068
Improved-Maisonette_price_ratio,0.0008126164
Maisonette_price_ratio,0.0006442436
Maisonette,0.0006032513
Adjoined flat,0.00047619647
HOUGANG_price_ratio,0.00040341174
Adjoined flat_price_ratio,0.0003833719
HOUGANG,1.1658671e-05
MULTI-GENERATION_price_ratio,0.0
Improved-Maisonette,0.0
Multi Generation,0.0
MULTI-GENERATION,0.0
