Feature,XGBoost Importance,Permutation Importance,XGBoost Rank,Permutation Rank,Rank Difference,XGBoost Importance (Normalized),Permutation Importance (Normalized),Average Importance
floor_area_sqm,0.0056314864,0.4496476715934761,52.0,1.0,51.0,0.005631486,0.3504035600550754,0.17801752300450122
remaining_lease,0.001293213,0.21701407651732887,83.0,2.0,81.0,0.0012932129,0.16911575395076475,0.08520448341231297
EXECUTIVE_price_ratio,0.07528367,0.004987290819512369,1.0,32.0,31.0,0.07528366,0.003886519532046174,0.03958509050838225
area_by_storey,0.0027566177,0.08076034765007967,72.0,3.0,69.0,0.0027566175,0.06293530494128337,0.03284596121946807
BUKIT MERAH_price_ratio,0.04553709,0.01057552466730598,2.0,24.0,22.0,0.045537088,0.00824134478388801,0.02688921642511375
QUEENSTOWN,0.028104654,0.027982539789596684,9.0,7.0,2.0,0.02810465,0.021806365697190327,0.02495550777693846
3 ROOM,0.028976647,0.02518293192386243,8.0,8.0,0.0,0.028976643,0.01962467406419465,0.02430065876110171
SENGKANG,0.014386303,0.03414267913516082,22.0,4.0,18.0,0.014386301,0.026606868164981454,0.020496584546936078
Terrace,0.04007922,0.00044888621475003276,3.0,81.0,78.0,0.040079217,0.0003498101683717041,0.020214513786249413
Terrace_price_ratio,0.03594231,1.4279729531274654e-05,4.0,102.0,98.0,0.035942305,1.1127975035765381e-05,0.01797671642723136
CHOA CHU KANG,0.016012479,0.02401875149584747,19.0,9.0,10.0,0.016012477,0.018717446044805075,0.017364961400986922
WOODLANDS,0.012341375,0.028203953200270936,28.0,6.0,22.0,0.012341374,0.0219789097850297,0.017160141692547703
Type S1,0.03313856,0.0005015121311669369,5.0,77.0,72.0,0.033138555,0.0003908207409346503,0.016764687642095703
BISHAN_price_ratio,0.032340534,0.0012765048385940947,6.0,63.0,57.0,0.03234053,0.0009947607162865378,0.016667645511193693
BUKIT TIMAH,0.026585829,0.006175314344116623,10.0,27.0,17.0,0.026585825,0.004812328112295807,0.01569907644995627
BUKIT MERAH,0.017012915,0.017542387313043896,17.0,11.0,6.0,0.017012913,0.01367051439312903,0.015341713586587747
Type S2,0.030414669,0.00017546801774270815,7.0,89.0,82.0,0.030414665,0.0001367395451531215,0.01527570233150648
BISHAN,0.018988337,0.011268267737657123,15.0,21.0,6.0,0.018988336,0.008781188873804666,0.013884762189466287
KALLANG/WHAMPOA,0.014446385,0.0166041776378947,21.0,13.0,8.0,0.014446383,0.012939381928714497,0.013692882635430685
JURONG WEST,0.010021828,0.02206180666077682,33.0,10.0,23.0,0.010021827,0.017192428836086814,0.01360712800987533
CENTRAL AREA,0.022413751,0.004295651679514423,13.0,38.0,25.0,0.02241375,0.003347535718186196,0.01288064248298779
lease_exp_factor,0.0010415184,0.031254485275359255,93.0,5.0,88.0,0.0010415183,0.024356142820363965,0.012698830555911226
CENTRAL AREA_price_ratio,0.022907048,0.0010240773138650238,12.0,67.0,55.0,0.022907047,0.0007980478032462018,0.011852547202211232
3 ROOM_price_ratio,0.022321632,0.0017582740432473987,14.0,58.0,44.0,0.02232163,0.0013701960962523066,0.011845913182770661
DBSS,0.013792135,0.012573651424851607,25.0,17.0,8.0,0.013792133,0.009798454435549442,0.01179529369715962
BUKIT TIMAH_price_ratio,0.023251291,0.0003782209628529154,11.0,82.0,71.0,0.02325129,0.00029474181730210225,0.011773015659544167
GEYLANG,0.014285272,0.010874912908335376,23.0,22.0,1.0,0.01428527,0.008474653465602194,0.011379961795138019
2 ROOM,0.017757904,0.005620665389935109,16.0,28.0,12.0,0.017757902,0.004380098657093071,0.011069000289480697
TOA PAYOH,0.01161632,0.01227001610499574,29.0,18.0,11.0,0.011616319,0.009561836070199274,0.010589077744076383
BUKIT PANJANG,0.009896164,0.013778727021260683,34.0,16.0,18.0,0.009896163,0.010737551434808451,0.010316857166078428
PUNGGOL,0.0066190856,0.017484461931156315,47.0,12.0,35.0,0.0066190846,0.013625374028098275,0.010122229327267255
EXECUTIVE,0.011388786,0.0107814543175196,30.0,23.0,7.0,0.011388785,0.008401822613785428,0.009895303909783444
DBSS_price_ratio,0.016869921,0.0025032815900923877,18.0,48.0,30.0,0.01686992,0.0019507690941225132,0.009410344234353833
YISHUN,0.006815256,0.015374309055948544,45.0,14.0,31.0,0.006815255,0.011980964134652305,0.009398109644288267
5 ROOM,0.0064476584,0.014956782301348403,49.0,15.0,34.0,0.0064476575,0.01165559191441672,0.009051624695763672
TOA PAYOH_price_ratio,0.015282945,0.0033546872323115596,20.0,44.0,24.0,0.015282943,0.002614256502001941,0.008948599707737297
MARINE PARADE,0.013812842,0.001949051231137977,24.0,56.0,32.0,0.01381284,0.0015188658437843088,0.007665852914339054
SEMBAWANG,0.0069732456,0.010183491108089337,44.0,25.0,19.0,0.0069732447,0.007935839021290022,0.007454541868386009
QUEENSTOWN_price_ratio,0.013184536,0.002097361403475606,26.0,52.0,26.0,0.013184534,0.0016344416949731287,0.007409488040386745
JURONG WEST_price_ratio,0.010820037,0.0036679939616802936,31.0,42.0,11.0,0.010820036,0.002858411649010622,0.006839223735850077
SENGKANG_price_ratio,0.010535209,0.0036872991175509683,32.0,40.0,8.0,0.0105352085,0.002873455862006388,0.006704332185189348
2 ROOM_price_ratio,0.012666077,0.00024066125631723169,27.0,86.0,59.0,0.0126660755,0.00018754363985037147,0.0064268095651327335
CLEMENTI,0.00794375,0.005329140234106378,38.0,29.0,9.0,0.007943749,0.004152917557531295,0.006048333492663352
Premium Apartment,0.0012235034,0.011964704163376628,85.0,19.0,66.0,0.0012235033,0.009323911139127049,0.005273707200931476
Model A,0.0010748417,0.01168331117075443,91.0,20.0,71.0,0.0010748416,0.009104625879537148,0.005089733737395993
BUKIT PANJANG_price_ratio,0.007920643,0.0024646643399459656,39.0,50.0,11.0,0.007920642,0.0019206752611379235,0.004920658822267275
KALLANG/WHAMPOA_price_ratio,0.007871583,0.0024965506000497184,40.0,49.0,9.0,0.007871582,0.0019455237364288144,0.004908552954619923
Type S2_price_ratio,0.009567525,3.7681955904722565e-05,35.0,96.0,61.0,0.009567524,2.9364972472915907e-05,0.004798444639474516
long_lease,0.0070089474,0.0030701988560715822,43.0,45.0,2.0,0.0070089465,0.002392559057254799,0.004700752778986696
MARINE PARADE_price_ratio,0.0091038775,0.00032797858437623174,36.0,83.0,47.0,0.009103877,0.0002555886994365634,0.0046797326190056296
TAMPINES,0.004165164,0.006495346969564375,63.0,26.0,37.0,0.0041651637,0.005061724647350147,0.004613444188344992
JURONG EAST,0.0050387094,0.005208291637439899,58.0,30.0,28.0,0.005038709,0.004058742092662262,0.004548725503366792
Type S1_price_ratio,0.00864248,7.999086446797143e-06,37.0,105.0,68.0,0.008642479,6.2335658454829405e-06,0.0043243562059295144
SERANGOON,0.0047652656,0.004895706498703634,61.0,35.0,26.0,0.004765265,0.0038151492702078772,0.004290207212895749
WOODLANDS_price_ratio,0.0067814235,0.002041155514226989,46.0,54.0,8.0,0.0067814225,0.0015906413042828314,0.004186031918688857
CHOA CHU KANG_price_ratio,0.0070214137,0.0016286240429688626,42.0,59.0,17.0,0.0070214127,0.0012691618320299547,0.004145287275535532
CLEMENTI_price_ratio,0.0072028977,0.0013891124819235712,41.0,62.0,21.0,0.0072028968,0.0010825141321381705,0.004142705443663437
BUKIT BATOK,0.00402469,0.004588156873310778,64.0,37.0,27.0,0.0040246896,0.0035754805463615934,0.0038000850489022277
4 ROOM_price_ratio,0.006025673,0.0019696548779864374,50.0,55.0,5.0,0.006025672,0.0015349219509586949,0.0037802969549410176
PASIR RIS,0.0035241994,0.005020200207799563,68.0,31.0,37.0,0.003524199,0.003912165315497474,0.003718182105408885
YISHUN_price_ratio,0.005192801,0.002822724512168162,55.0,47.0,8.0,0.0051928004,0.002199706082349478,0.003696253253671258
GEYLANG_price_ratio,0.0065637273,0.00048288056444698577,48.0,78.0,30.0,0.0065637263,0.0003763014456718985,0.0034700138963058504
BEDOK,0.0039604707,0.003675145979585981,65.0,41.0,24.0,0.00396047,0.002863985107284851,0.003412227655297551
TAMPINES_price_ratio,0.005640983,0.001125081441608966,51.0,66.0,15.0,0.0056409827,0.0008767587766986182,0.0032588707134595064
SEMBAWANG_price_ratio,0.005283543,0.0014212083271750275,54.0,61.0,7.0,0.0052835424,0.0011075259339322983,0.003195534188499567
BUKIT BATOK_price_ratio,0.0054036626,0.0011359630882115778,53.0,65.0,12.0,0.005403662,0.0008852386776292822,0.003144450389031793
JURONG EAST_price_ratio,0.0051335944,0.0011976284917848633,56.0,64.0,8.0,0.005133594,0.0009332935844138272,0.0030334437525160614
