Feature,Importance
remaining_lease,27204.6
floor_area_sqm,17392.2
area_by_storey,14681.8
lease_exp_factor,2476.2
Model A,921.8
Improved_price_ratio,722.2
Premium Apartment_price_ratio,715.6
SENGKANG_price_ratio,552.8
5 ROOM,532.0
JURONG WEST_price_ratio,448.0
3 ROOM_price_ratio,438.2
BUKIT MERAH_price_ratio,433.0
YISHUN,426.2
PUNGGOL,425.2
TAMPINES_price_ratio,418.0
WOODLANDS,417.8
KALLANG/WHAMPOA,408.0
Maisonette_price_ratio,406.0
BEDOK_price_ratio,396.4
CHOA CHU KANG,387.8
HOUGANG_price_ratio,380.4
SEMBAWANG_price_ratio,379.8
4 ROOM,379.6
New Generation_price_ratio,359.8
QUEENSTOWN,351.6
BUKIT PANJANG_price_ratio,350.4
TOA PAYOH,348.2
DBSS,347.2
BUKIT BATOK,344.0
JURONG EAST_price_ratio,304.4
CLEMENTI,300.8
GEYLANG,285.6
PASIR RIS_price_ratio,263.2
EXECUTIVE,262.8
SERANGOON,246.8
BISHAN,242.2
Simplified_price_ratio,196.6
Standard,170.4
CENTRAL AREA_price_ratio,159.8
Model A_price_ratio,118.6
2 ROOM,107.0
Model A2,103.8
BUKIT TIMAH,94.8
Adjoined flat,90.0
MARINE PARADE_price_ratio,83.2
Improved,79.0
Premium Apartment,78.2
long_lease,75.4
YISHUN_price_ratio,59.4
WOODLANDS_price_ratio,51.6
SENGKANG,50.4
BUKIT MERAH,49.0
Type S1,47.6
KALLANG/WHAMPOA_price_ratio,47.6
GEYLANG_price_ratio,47.4
Maisonette,45.8
short_lease,44.6
PUNGGOL_price_ratio,42.6
Model A-Maisonette,42.4
DBSS_price_ratio,40.8
JURONG WEST,40.8
QUEENSTOWN_price_ratio,40.4
CHOA CHU KANG_price_ratio,39.8
BUKIT PANJANG,39.8
BEDOK,39.0
Standard_price_ratio,37.0
4 ROOM_price_ratio,36.4
TOA PAYOH_price_ratio,36.4
3 ROOM,36.0
PASIR RIS,35.8
SEMBAWANG,35.8
Multi Generation_price_ratio,35.8
BUKIT BATOK_price_ratio,35.2
TAMPINES,35.0
JURONG EAST,34.8
Premium Apartment Loft_price_ratio,30.6
New Generation,30.0
CLEMENTI_price_ratio,29.4
Terrace_price_ratio,28.4
HOUGANG,28.2
SERANGOON_price_ratio,27.8
Type S2,27.0
BISHAN_price_ratio,23.8
EXECUTIVE_price_ratio,20.4
CENTRAL AREA,20.0
Simplified,19.2
2 ROOM_price_ratio,14.8
Adjoined flat_price_ratio,11.6
Improved-Maisonette_price_ratio,9.8
MARINE PARADE,8.2
Model A-Maisonette_price_ratio,5.8
BUKIT TIMAH_price_ratio,5.0
Type S1_price_ratio,4.4
Premium Apartment Loft,3.4
Type S2_price_ratio,3.4
Terrace,2.8
Multi Generation,2.0
Improved-Maisonette,1.2
MULTI-GENERATION,0.0
MULTI-GENERATION_price_ratio,0.0
