Feature,Importance
EXECUTIVE_price_ratio,0.07528367
BUKIT MERAH_price_ratio,0.04553709
Terrace,0.04007922
Terrace_price_ratio,0.03594231
Type S1,0.03313856
BISHAN_price_ratio,0.032340534
Type S2,0.030414669
3 ROOM,0.028976647
QUEENSTOWN,0.028104654
BUKIT TIMAH,0.026585829
BUKIT TIMAH_price_ratio,0.023251291
CENTRAL AREA_price_ratio,0.022907048
CENTRAL AREA,0.022413751
3 ROOM_price_ratio,0.022321632
BISHAN,0.018988337
2 ROOM,0.017757904
BUKIT MERAH,0.017012915
DBSS_price_ratio,0.016869921
CHOA CHU KANG,0.016012479
TOA PAYOH_price_ratio,0.015282945
KALLANG/WHAMPOA,0.014446385
SENGKANG,0.014386303
GEYLANG,0.014285272
MARINE PARADE,0.013812842
DBSS,0.013792135
QUEENSTOWN_price_ratio,0.013184536
2 ROOM_price_ratio,0.012666077
WOODLANDS,0.012341375
TOA PAYOH,0.01161632
EXECUTIVE,0.011388786
JURONG WEST_price_ratio,0.010820037
SENGKANG_price_ratio,0.010535209
JURONG WEST,0.010021828
BUKIT PANJANG,0.009896164
Type S2_price_ratio,0.009567525
MARINE PARADE_price_ratio,0.0091038775
Type S1_price_ratio,0.00864248
CLEMENTI,0.00794375
BUKIT PANJANG_price_ratio,0.007920643
KALLANG/WHAMPOA_price_ratio,0.007871583
CLEMENTI_price_ratio,0.0072028977
CHOA CHU KANG_price_ratio,0.0070214137
long_lease,0.0070089474
SEMBAWANG,0.0069732456
YISHUN,0.006815256
WOODLANDS_price_ratio,0.0067814235
PUNGGOL,0.0066190856
GEYLANG_price_ratio,0.0065637273
5 ROOM,0.0064476584
4 ROOM_price_ratio,0.006025673
TAMPINES_price_ratio,0.005640983
floor_area_sqm,0.0056314864
BUKIT BATOK_price_ratio,0.0054036626
SEMBAWANG_price_ratio,0.005283543
YISHUN_price_ratio,0.005192801
JURONG EAST_price_ratio,0.0051335944
SERANGOON_price_ratio,0.0050517228
JURONG EAST,0.0050387094
Standard_price_ratio,0.0049323584
Simplified_price_ratio,0.0048837713
SERANGOON,0.0047652656
PASIR RIS_price_ratio,0.0043252055
TAMPINES,0.004165164
BUKIT BATOK,0.00402469
BEDOK,0.0039604707
BEDOK_price_ratio,0.0038027267
short_lease,0.0037137407
PASIR RIS,0.0035241994
PUNGGOL_price_ratio,0.0030690753
Multi Generation_price_ratio,0.0029451728
Simplified,0.0029209142
area_by_storey,0.0027566177
Model A-Maisonette_price_ratio,0.002653054
Model A-Maisonette,0.002603324
New Generation,0.0025512297
Standard,0.0024585892
New Generation_price_ratio,0.002120379
Model A_price_ratio,0.0017887015
Premium Apartment Loft_price_ratio,0.001717227
4 ROOM,0.0017128227
Improved-Maisonette_price_ratio,0.0016083757
Improved_price_ratio,0.0013500446
remaining_lease,0.001293213
Multi Generation,0.0012929384
Premium Apartment,0.0012235034
Improved-Maisonette,0.0011754666
Premium Apartment_price_ratio,0.0011399569
MULTI-GENERATION_price_ratio,0.0011188597
HOUGANG_price_ratio,0.0011133838
Improved,0.0010915463
Model A,0.0010748417
HOUGANG,0.0010439578
lease_exp_factor,0.0010415184
MULTI-GENERATION,0.00095204846
Premium Apartment Loft,0.0008973523
Maisonette_price_ratio,0.0008302502
Adjoined flat,0.0007846542
Adjoined flat_price_ratio,0.0006729771
Maisonette,0.00066828635
Model A2,0.00066408043
3Gen,0.00055480836
3Gen_price_ratio,0.00053211435
Apartment,0.00051423756
Apartment_price_ratio,0.00048782222
Average_storey_range,0.000480141
5 ROOM_price_ratio,0.00045460093
Model A2_price_ratio,0.0004267107
Premium Maisonette,0.00041179403
Premium Maisonette_price_ratio,0.00040550416
